epoch,train_loss,train_acc,val_loss,val_acc,test_acc
0,1.0817811406320996,0.7242222222222222,0.7191770672798157,0.904,0.624
1,0.8973582353856828,0.7322222222222222,0.6133842915296555,0.912,0.618
2,0.8337284011973275,0.7293333333333333,0.5575027167797089,0.908,0.654
3,0.7670633511410819,0.7324444444444445,0.5237763226032257,0.908,0.67
4,0.7334141979614893,0.734,0.5125515908002853,0.914,0.63
5,0.6938048568036821,0.7342222222222222,0.4877013936638832,0.904,0.636
6,0.6728776668508848,0.7368888888888889,0.4645186886191368,0.904,0.67
7,0.6481640529301431,0.7375555555555555,0.45011839270591736,0.908,0.66
8,0.652436355749766,0.7393333333333333,0.4433550536632538,0.912,0.656
9,0.6310451701283455,0.7384444444444445,0.4350050687789917,0.918,0.684
10,0.6233126901917987,0.742,0.44517791271209717,0.914,0.65
11,0.6049891751673486,0.7451111111111111,0.42053651809692383,0.91,0.668
12,0.6000175128380457,0.744,0.41422465443611145,0.916,0.652
13,0.5951856225728989,0.7446666666666667,0.4198709577322006,0.914,0.646
14,0.5929813807209333,0.7455555555555555,0.4097711816430092,0.928,0.646
15,0.5743693684538206,0.7446666666666667,0.3929998055100441,0.922,0.684
16,0.5717423450615671,0.7464444444444445,0.39990751445293427,0.92,0.644
17,0.5607616586817635,0.7444444444444445,0.37676889449357986,0.92,0.698
18,0.5560778718855646,0.7504444444444445,0.38296017050743103,0.924,0.694
19,0.5616501429014735,0.7526666666666667,0.3853389695286751,0.928,0.686
20,0.5483144306474261,0.75,0.37537794560194016,0.93,0.674
21,0.5434482999973826,0.7508888888888889,0.3760784789919853,0.924,0.72
22,0.5539547784460915,0.7502222222222222,0.3799194395542145,0.918,0.682
23,0.5533088445663452,0.75,0.38162796944379807,0.92,0.678
24,0.5439431311355697,0.7517777777777778,0.3816462680697441,0.93,0.648
25,0.5342446664969126,0.7524444444444445,0.37028631567955017,0.926,0.72
26,0.5338137216038175,0.7568888888888889,0.372732050716877,0.928,0.664
27,0.5252199901474847,0.7564444444444445,0.3499830365180969,0.936,0.702
28,0.5182608846161101,0.7586666666666667,0.362492211163044,0.932,0.712
29,0.513537218173345,0.7597777777777778,0.3540120795369148,0.93,0.696
30,0.5008749332692888,0.76,0.3478822633624077,0.93,0.694
31,0.5142000077499284,0.7591111111111111,0.35183320939540863,0.932,0.688
32,0.503648128774431,0.7617777777777778,0.3585088402032852,0.928,0.662
33,0.5001934112774001,0.7608888888888888,0.3441958352923393,0.932,0.7
34,0.5102802531586753,0.7648888888888888,0.348873995244503,0.932,0.684
35,0.4918792322278023,0.7646666666666667,0.33067457750439644,0.936,0.718
36,0.48597079184320235,0.764,0.3342716805636883,0.938,0.68
37,0.5006429610980881,0.7631111111111111,0.33474239706993103,0.936,0.67
38,0.4896228305167622,0.7646666666666667,0.3383697271347046,0.936,0.664
39,0.4863756207956208,0.7633333333333333,0.3228345885872841,0.944,0.722
40,0.48790766298770905,0.7651111111111111,0.32986878603696823,0.946,0.69
41,0.4910449195239279,0.7695555555555555,0.3228938579559326,0.938,0.724
42,0.4839971893363529,0.7664444444444445,0.3230808600783348,0.944,0.708
43,0.4748072491751777,0.7697777777777778,0.33352938294410706,0.934,0.684
44,0.4687615856528282,0.7708888888888888,0.32826152071356773,0.936,0.684
45,0.47226640747653115,0.7713333333333333,0.32956917956471443,0.936,0.692
46,0.46848662611511016,0.7713333333333333,0.32574285566806793,0.94,0.694
47,0.4626063373353746,0.7711111111111111,0.32100438699126244,0.942,0.696
48,0.47638237807485795,0.7704444444444445,0.32710494846105576,0.942,0.68
49,0.4543427311711841,0.7715555555555556,0.3080999106168747,0.936,0.712
50,0.46040919174750644,0.7735555555555556,0.31618041545152664,0.946,0.694
51,0.4595758294065793,0.7702222222222223,0.3199113868176937,0.938,0.69
52,0.46415121687783134,0.7728888888888888,0.3051488548517227,0.94,0.718
53,0.45972788002755904,0.7731111111111111,0.31179092079401016,0.946,0.706
54,0.46135153621435165,0.7717777777777778,0.30874861031770706,0.942,0.728
55,0.4564313052429093,0.7742222222222223,0.3052453100681305,0.942,0.714
56,0.45823825233512455,0.7753333333333333,0.3078201785683632,0.946,0.724
57,0.4491812644733323,0.7757777777777778,0.30105912685394287,0.948,0.708
58,0.4468478461106618,0.776,0.2971930503845215,0.95,0.718
59,0.4403970175319248,0.7762222222222223,0.2969898506999016,0.946,0.71
60,0.4576994710498386,0.7764444444444445,0.30249301344156265,0.952,0.712
61,0.4416230809357431,0.776,0.30617066472768784,0.938,0.712
62,0.44154951969782513,0.7777777777777778,0.30550526455044746,0.944,0.684
63,0.44606661796569824,0.778,0.30515775829553604,0.948,0.72
64,0.4462813138961792,0.7764444444444445,0.30459047108888626,0.942,0.716
65,0.4363779632581605,0.7771111111111111,0.29784175008535385,0.946,0.71
66,0.4305625201927291,0.7797777777777778,0.29489363729953766,0.946,0.702
67,0.4363187394208378,0.7795555555555556,0.30784889310598373,0.946,0.684
68,0.4381723097629017,0.778,0.29142777994275093,0.954,0.722
69,0.4454972835050689,0.7811111111111111,0.29198043793439865,0.95,0.722
70,0.4336477658814854,0.7806666666666666,0.2971527799963951,0.942,0.712
71,0.42976370950539905,0.7793333333333333,0.2908092625439167,0.954,0.712
72,0.4226193494266934,0.7808888888888889,0.29881905764341354,0.944,0.71
73,0.4245169195863936,0.7813333333333333,0.2930995300412178,0.948,0.716
74,0.42282039175430935,0.782,0.2943483516573906,0.946,0.696
75,0.41198113312323886,0.7808888888888889,0.2795981355011463,0.95,0.718
76,0.41906388269530404,0.782,0.28277355432510376,0.95,0.72
77,0.42368031955427593,0.7811111111111111,0.2772902101278305,0.952,0.72
78,0.41506209555599427,0.7833333333333333,0.2760968655347824,0.956,0.73
79,0.4195067154036628,0.7833333333333333,0.2809668891131878,0.96,0.724
80,0.411927681002352,0.784,0.2699764743447304,0.956,0.734
81,0.4185833806792895,0.7833333333333333,0.2841086760163307,0.95,0.728
82,0.4071238479680485,0.7828888888888889,0.278583787381649,0.956,0.718
83,0.40490980280770195,0.7831111111111111,0.2737915702164173,0.944,0.724
84,0.4193250098162227,0.7811111111111111,0.2867262214422226,0.954,0.7
85,0.4102311001883613,0.7855555555555556,0.2728128954768181,0.954,0.734
86,0.4044630966252751,0.7862222222222223,0.2761559337377548,0.954,0.724
87,0.3991544279787276,0.7853333333333333,0.275851845741272,0.956,0.74
88,0.4023202715648545,0.7842222222222223,0.28332753852009773,0.946,0.718
